Product,Boxes Shipped
50% Dark Bites,29810
70% Dark Bites,24524
85% Dark Bars,23828
99% Dark & Pure,24818
After Nines,25156
Almond Choco,20558
Baker's Choco Chips,21448
Caramel Stuffed Bars,26576
Choco Coated Almonds,19677
Drinking Coco,26402
Eclairs,26678
Fruit & Nut Bars,23632
Manuka Honey Choco,23736
Milk Bars,25436
Mint Chip Choco,25149
Orange Choco,23607
Organic Choco Syrup,23602
Peanut Butter Cubes,25339
Raspberry Choco,21672
Smooth Sliky Salty,26969
Spicy Special Slims,26662
White Choc,25158
