Product,Amount
50% Dark Bites,1087659.35
70% Dark Bites,677346.22
85% Dark Bars,955268.24
99% Dark & Pure,960033.45
After Nines,837215.67
Almond Choco,890454.65
Baker's Choco Chips,799085.67
Caramel Stuffed Bars,742516.15
Choco Coated Almonds,773062.91
Drinking Coco,822245.57
Eclairs,996947.96
Fruit & Nut Bars,829278.96
Manuka Honey Choco,885208.03
Milk Bars,866273.62
Mint Chip Choco,904989.55
Orange Choco,824070.85
Organic Choco Syrup,945345.73
Peanut Butter Cubes,1036591.09
Raspberry Choco,845388.41
Smooth Sliky Salty,1120201.09
Spicy Special Slims,938131.6900000001
White Choc,1054257.0
